USA SOFTBALL TESTING & CERTIFICATION PROGRAM,,,,
Certified Bats,,,,
#ERROR!,Click here to select all by type,,,
,,,,
,,,,
Type,Manufacturer,Model,Description,"Last
Update"
,Adidas,FPVQSH2K10,Vanquish,3/21/2011
,Adidas,FPVQSH2K9,Vanquish,8/13/2008
,Adidas,Phenom,by Dick's Sporting Goods,8/13/2008
,Adidas,Vanquish-FPVQSH2K8,by Dick's Sporting Goods,8/13/2008
,Akadema,Catapult Black,,9/16/2009
,Akadema,Xtension,,8/13/2008
,Akadema,Xtension Catapult,,8/13/2008
,Akadema,Xtension Catapult Hybrid,,8/13/2008
,Albin Athletics,ACL-XO7FP,,8/13/2008
,Albin Athletics,ACL-XO7SP,,8/13/2008
,Albin Athletics,ASP07,,8/13/2008
,Anarchy Bats,23APRN212-1,Reign,6/3/2023
,Anarchy Bats,A202ABDM2-2,Blue Dream,9/14/2020
,Anarchy Bats,A20AASM1-1,Autism,11/5/2020
,Anarchy Bats,A20AATS2-1,All The Smoke,11/5/2020
,Anarchy Bats,A20ADAY2-1,22 A Day,11/5/2020
,Anarchy Bats,A20ADMN2-1,Demon,11/5/2020
,Anarchy Bats,A20AMUW2-1,Maui-Wowie,11/5/2020
,Anarchy Bats,A20APPX2,Pineapple X,9/14/2020
,Anarchy Bats,A20AREB2-2,Rebellion,11/5/2020
,Anarchy Bats,A20AREB2-2,Rebellion,4/26/2021
,Anarchy Bats,A20ASDL2-1,Sour Diesel,11/5/2020
,Anarchy Bats,A20AUND1-1,Unite,9/14/2020
,Anarchy Bats,A20AWC1A1,Awakening CE,6/22/2020
,Anarchy Bats,A20BUD1A2,Budweiser (1oz),6/22/2020
,Anarchy Bats,A20BUD2A2,Budweiser (.5oz),6/22/2020
,Anarchy Bats,A20BUDL1A2,Bud Light (1oz),6/22/2020
,Anarchy Bats,A20BUDL2A2,Bud Light (.5oz),6/22/2020
,Anarchy Bats,A21AATSM12-2,Autism,9/15/2021
,Anarchy Bats,A21ABHL12-1,Busch,6/22/2021
,Anarchy Bats,A21ABLL13-1,Bud Lime,6/22/2021
,Anarchy Bats,A21ADMSC13-2,Demon Supercharged,6/22/2021
,Anarchy Bats,A21ADSC121-1,Diablo Super Charged,6/22/2021
,Anarchy Bats,A21ADSCP13-2,Disciple,6/22/2021
,Anarchy Bats,A21AHNET12-1,Hornet,11/5/2021
,Anarchy Bats,A21AHOPE13-1,Hope,9/15/2021
,Anarchy Bats,A21AIRCN12-1,Insurrection,6/22/2021
,Anarchy Bats,A21AJSTC13-3,Justice,11/5/2021
,Anarchy Bats,A21AJSTR13-2,Jester,9/15/2021
,Anarchy Bats,A21ALCO1-2,LoCo,9/15/2021
,Anarchy Bats,A21ALOCO2-2,LoCo,9/15/2021
,Anarchy Bats,A21AMUA13-2,Michelob,6/22/2021
,Anarchy Bats,A21ANTD12-2,Naturday,6/22/2021
,Anarchy Bats,A21ANTSC12-2,Nitrous Supercharged,9/15/2021
,Anarchy Bats,A21AOKT13-2,Outkast,6/22/2021
,Anarchy Bats,A21APRO12-1,98 Proof,6/22/2021
,Anarchy Bats,A21ARDTN13-1,Redemtption,9/15/2021
